producto,ciudad,precio,variabilidad,fecha,LATITUD,LONGITUD
Tomate*,medellín,2825,0,01ago2023,6.257590259,-75.61103107
Tomate*,neiva,2971,0.14,01ago2023,2.993360046,-75.27236232
Tomate*,pereira,3033,0.1,01ago2023,4.803662773,-75.79579093
Tomate*,santa,n.d.,n.d.,01ago2023,,
Tomate*,tunja,n.d.,n.d.,01ago2023,5.518472615,-73.37801856
Zanahoria,armenia,1444,0,01ago2023,6.163683758,-75.80995528
Zanahoria,armenia,1444,0,01ago2023,4.499501128,-75.72489985
Zanahoria,bogotá,1740,0.04,01ago2023,,
Zanahoria,bucaramanga,1971,0,01ago2023,7.155833544,-73.11156997
Zanahoria,cali,900,0.06,01ago2023,3.399043723,-76.57649259
Zanahoria,cúcuta,1035,0.03,01ago2023,,
Zanahoria,ibagué,1530,-0.03,01ago2023,4.451921427,-75.252591
Zanahoria,medellín,417,0.21,01ago2023,6.257590259,-75.61103107
Zanahoria,neiva,1333,0.04,01ago2023,2.993360046,-75.27236232
Zanahoria,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Zanahoria,santa,1350,-0.01,01ago2023,,
Zanahoria,tunja,1111,0.14,01ago2023,5.518472615,-73.37801856
Aguacate*,armenia,3833,0.25,01ago2023,6.163683758,-75.80995528
Aguacate*,armenia,3833,0.25,01ago2023,4.499501128,-75.72489985
Aguacate*,bogotá,5575,-0.03,01ago2023,,
Aguacate*,bucaramanga,5500,0,01ago2023,7.155833544,-73.11156997
Aguacate*,cali,4600,0.02,01ago2023,3.399043723,-76.57649259
Aguacate*,cúcuta,4833,-0.09,01ago2023,,
Aguacate*,ibagué,3950,-0.08,01ago2023,4.451921427,-75.252591
Aguacate*,medellín,4100,0.05,01ago2023,6.257590259,-75.61103107
Aguacate*,neiva,5750,0.35,01ago2023,2.993360046,-75.27236232
Aguacate*,pereira,4933,0.14,01ago2023,4.803662773,-75.79579093
Aguacate*,santa,n.d.,n.d.,01ago2023,,
Aguacate*,tunja,4500,-0.04,01ago2023,5.518472615,-73.37801856
Banano*,armenia,1433,0,01ago2023,6.163683758,-75.80995528
Banano*,armenia,1433,0,01ago2023,4.499501128,-75.72489985
Banano*,bogotá,2171,0,01ago2023,,
Banano*,bucaramanga,2033,0,01ago2023,7.155833544,-73.11156997
Banano*,cali,1500,-0.03,01ago2023,3.399043723,-76.57649259
Banano*,cúcuta,2242,-0.01,01ago2023,,
Banano*,ibagué,1367,0.03,01ago2023,4.451921427,-75.252591
Banano*,medellín,1750,0,01ago2023,6.257590259,-75.61103107
Banano*,neiva,1600,0,01ago2023,2.993360046,-75.27236232
Banano*,pereira,1633,0.2,01ago2023,4.803662773,-75.79579093
Banano*,santa,1412,n.d.,01ago2023,,
Banano*,tunja,2067,-0.03,01ago2023,5.518472615,-73.37801856
Coco,armenia,n.d.,n.d.,01ago2023,6.163683758,-75.80995528
Coco,armenia,n.d.,n.d.,01ago2023,4.499501128,-75.72489985
Coco,bogotá,n.d.,n.d.,01ago2023,,
Coco,bucaramanga,n.d.,n.d.,01ago2023,7.155833544,-73.11156997
Coco,cali,3222,-0.01,01ago2023,3.399043723,-76.57649259
Coco,cúcuta,n.d.,n.d.,01ago2023,,
Coco,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Coco,medellín,8483,0.01,01ago2023,6.257590259,-75.61103107
Coco,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Coco,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Coco,santa,n.d.,n.d.,01ago2023,,
Coco,tunja,n.d.,n.d.,01ago2023,5.518472615,-73.37801856
Granadilla,armenia,n.d.,n.d.,01ago2023,6.163683758,-75.80995528
Granadilla,armenia,n.d.,n.d.,01ago2023,4.499501128,-75.72489985
Granadilla,bogotá,6125,0.01,01ago2023,,
Granadilla,bucaramanga,7500,-0.09,01ago2023,7.155833544,-73.11156997
Granadilla,cali,6444,-0.21,01ago2023,3.399043723,-76.57649259
Granadilla,cúcuta,8333,-0.03,01ago2023,,
Granadilla,ibagué,4511,-0.12,01ago2023,4.451921427,-75.252591
Granadilla,medellín,5493,-0.19,01ago2023,6.257590259,-75.61103107
Granadilla,neiva,5833,-0.13,01ago2023,2.993360046,-75.27236232
Granadilla,pereira,n.d.,n.d.,01ago2023,4.803662773,-75.79579093
Granadilla,santa,n.d.,n.d.,01ago2023,,
Granadilla,tunja,5889,-0.04,01ago2023,5.518472615,-73.37801856
Guayaba*,armenia,1933,-0.12,01ago2023,6.163683758,-75.80995528
Guayaba*,armenia,1933,-0.12,01ago2023,4.499501128,-75.72489985
Guayaba*,bogotá,1804,-0.15,01ago2023,,
Guayaba*,bucaramanga,2250,0,01ago2023,7.155833544,-73.11156997
Guayaba*,cali,2450,0,01ago2023,3.399043723,-76.57649259
Guayaba*,cúcuta,2955,0.05,01ago2023,,
Guayaba*,ibagué,n.d.,n.d.,01ago2023,4.451921427,-75.252591
Guayaba*,medellín,2975,0.02,01ago2023,6.257590259,-75.61103107
Guayaba*,neiva,2933,-0.05,01ago2023,2.993360046,-75.27236232
Guayaba*,pereira,2400,0,01ago2023,4.803662773,-75.79579093
Guayaba*,santa,n.d.,n.d.,01ago2023,,
Guayaba*,tunja,2946,-0.02,01ago2023,5.518472615,-73.37801856
Limón común,armenia,5000,0.24,01ago2023,6.163683758,-75.80995528
Limón común,armenia,5000,0.24,01ago2023,4.499501128,-75.72489985
Limón común,bogotá,n.d.,n.d.,01ago2023,,
Limón común,bucaramanga,2450,0.21,01ago2023,7.155833544,-73.11156997
Limón común,cali,2833,0.04,01ago2023,3.399043723,-76.57649259
Limón común,cúcuta,4000,0.33,01ago2023,,
Limón común,ibagué,3429,0.01,01ago2023,4.451921427,-75.252591
Limón común,medellín,3014,-0.07,01ago2023,6.257590259,-75.61103107
Limón común,neiva,2800,-0.11,01ago2023,2.993360046,-75.27236232
Limón común,pereira,2733,-0.01,01ago2023,4.803662773,-75.79579093
Limón común,santa,n.d.,n.d.,01ago2023,,
Limón común,tunja,n.d.,n.d.,01ago2023,5.518472615,-73.37801856
Limón Tahití,armenia,1200,0,01ago2023,6.163683758,-75.80995528
Limón Tahití,armenia,1200,0,01ago2023,4.499501128,-75.72489985
Limón Tahití,bogotá,2190,0.04,01ago2023,,
Limón Tahití,bucaramanga,1200,0,01ago2023,7.155833544,-73.11156997
Limón Tahití,cali,1500,0,01ago2023,3.399043723,-76.57649259
Limón Tahití,cúcuta,1364,0.06,01ago2023,,
Limón Tahití,ibagué,1333,-0.07,01ago2023,4.451921427,-75.252591
Limón Tahití,medellín,1325,0.18,01ago2023,6.257590259,-75.61103107
Limón Tahití,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Limón Tahití,pereira,1267,0.19,01ago2023,4.803662773,-75.79579093
Limón Tahití,santa,n.d.,n.d.,01ago2023,,
Limón Tahití,tunja,970,-0.04,01ago2023,5.518472615,-73.37801856
Lulo,armenia,4500,0,01ago2023,6.163683758,-75.80995528
Lulo,armenia,4500,0,01ago2023,4.499501128,-75.72489985
Lulo,bogotá,3967,0.1,01ago2023,,
